Status,Claim,Claim Type,Food,NEW Food Type,Food Type,Food Matrix OLD,Regulation specifications,NEW Food Matrix,Food Ontology Term,Food Amount OLD,NEW Food Amount,Unit,Value,Frequency,Target population,Target population ontology term,Extra information,Phenotype,Phenotype Ontology Term,Phenotype Onto Term Match,Relationship-effect,Health relationship,EFSA Opinion Reference,Supporting Evidence Text 1,Supporting Evidence Reference 1,Supporting Evidence Text 2,Supporting Evidence Reference 2,Supporting Evidence Text 3,Supporting Evidence Reference 3,Supporting Evidence Text 4,Supporting Evidence Reference 4,Supporting Evidence Text 5,Supporting Evidence Reference,Supporting Evidence Text 5,Supporting Evidence Reference 5,Supporting Evidence Text 6,Supporting Evidence Reference 6,Supporting Evidence Text 7,Supporting Evidence Reference 7,Supporting Evidence Text 8,Supporting Evidence Reference 8,Supporting Evidence Text 9,Supporting Evidence Reference 9
,,,,,,,,"{matrix: ""food"", contains:{unit:[""g/100"", ""g/100kcal""], value:"">0.3"" } }",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finished,ALA contributes to the maintenance of normal blood cholesterol levels,Art. 13(1),Alpha-linolenic acid (ALA),Nutrient,Macronutrient,May be used only for food which is at least a source of ALA as referred to in the claim 'source of omega 3 fatty acids' (Reg. No. 1924/2006),"A claim that a food is a source of omega-3 fatty acids, and any claim likely to have the same meaning for the consumer, may only be made where the product contains at least 0,3 g alpha-linolenic acid per 100 g and per 100 kcal, or at least 40 mg of the sum of eicosapentaenoic acid and docosahexaenoic acid per 100 g and per 100 kcal.","Matrix: food (general)
Must contain: ALA
- Unit: g/100g AND g/100kcal
- Value: ≥0,3",https://foodb.ca/compounds/FDB012462,Daily intake of 2g of ALA,"Unit: g/day 
Value: 2",g,2,day,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Normal blood cholesterol,http://purl.bioontology.org/ontology/MEDDRA/10005426,Exact Match,Maintenance of a function,Maintenance of normal blood cholesterol concentrations,"2009;7(9):1252, 2011;9(6):2203","Clinical trials comparing the effects of different vegetable oils on serum lipids in normolipidaemic subjects have shown that the effect of alpha-linolenic acid (ALA) on serum cholesterol is similar to that of linoleic acid (LA) (Mantzioris et al., 1994; Valsta et al., 1995; Pand et al., 1998). In a metaanalysis of 60 randomised controlled clinical trials, the replacement of 1% of energy from carbohydrates by polyunsaturated fatty acids (PUFA), mainly as LA, reduced serum LDL cholesterol levels by 0.02 mmol/l (Mensink et al., 2003). The estimated change in the total to HDL cholesterol ALA related health claims EFSA Journal 2009; 7(9):1252 7 ratio was -0.032. Although LA was the main source of PUFA in the studies above, smaller amounts of ALA were also used in some of the studies. Moreover, as indicated in the studies by Mantzioris et al. (1994), Valsta et al. (1995) and Pand et al. (1998), the effects of LA and ALA on serum lipoproteins are similar and the n-6/n-3 ratio of dietary PUFA does not affect the serum lipid profile (Goyens and Mensink, 2005).",Mensink et al. (2003): 10.1093/ajcn/77.5.1146; Mantzioris et al. (1994): 10.1093/ajcn/59.6.1304; Valsta et al. (1995): no DOI; Pand et al. (1998): 10.1017/S0007114598001068,,,,,,,,,,,,,,,,,,
Finished,Activated charcoal contributes to reducing exessive flatulence after eating,Art. 13(1),Activated charcoal,Compound,BioactiveCompound,,,"Matrix: food supplement
Must contain: activated charcoal
- Unit: g/portion
- Value: 1",https://foodb.ca/compounds/FDB008898,1g at least 30 minutes before and 1g shortly after the meal,"Unit: g/portion
Value: 1 
Precondition: intake at least 30 minutes before the meal and shortly after the meal",g,1,portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Excessive flatulence,http://purl.bioontology.org/ontology/MEDDRA/10015604,Exact Match,Enhancing a function,Reduction of excessive intestinal gas accumulation,2011;9(4):2049,"In a double-blind randomised trial (Jain et al., 1986a) in two healthy population groups in the United States (n=30; 20 males, 10 females) and India (n=69; 62 males, 7 females) in which lactulose was used as the substrate for fermentation, breath hydrogen levels were measured (at 30 min intervals for 4 h 30 min) to quantify the amount of gas produced in the colon. Each subject was tested with identical capsules of a non-carbohydrate (gelatine) placebo or activated charcoal (260 mg/capsule) on two days. Subjects fasted (except for water ad libitum) for 10 hours before being tested, and abstained from smoking for two hours before and during the test. After collecting the first (fasting) breath sample, four coded capsules were given to each subject and the same dose repeated one hour later. Lactulose (15 mL) was given half an hour after the first dose of capsules. Symptoms of bloating, abdominal cramps and diarrhoea experienced by the volunteers during and for four hours after collection of the last breath sample were recorded. The study was repeated one week later with the second set of coded capsules; those who received placebo the first time were given activated charcoal subsequently. Non-lactulose fermenting subjects (i.e. in whom lactulose ingestion did not produce a rise in breath hydrogen) were excluded from data analysis (remaining sample: 28 in the United States and 62 in India). In comparison to a placebo, activated charcoal significantly (p<0.05) reduced breath hydrogen in both population groups.",Jain et al. (1986a): PMID 3521259,"In a double-blind, randomised study by Jain et al. (1986b) ten healthy adults (mean age: 28.3 years; 7 men, 3 women) were tested with identical-looking capsules of a non-carbohydrate placebo, activated charcoal (260 mg/capsule) and simethicone (20 mg/capsule). On each test day 20 mL end-expiratory fasting breath samples were collected from each subject. Four coded capsules were then given to each volunteer and the same dose repeated one hour later. Thirty minutes after the first dose, subjects consumed baked beans. Serial breath samples were subsequently collected at 30 minute intervals for seven hours. Symptoms of bloating and abdominal discomfort were recorded using a questionnaire. One subject did not produce hydrogen (H2), thus the results of only nine subjects were analysed. Compared to placebo, activated charcoal significantly reduced peak breath hydrogen levels (p=0.002) and the mean (0-7 hours) area under the curve (p<0.003). These effects were observed between 2.5
and 3 hours, and between 4.5 and 6.5 hours, after charcoal ingestion. ",Jain et al (1986b): 10.7326/0003-4819-105-1-61,"Overall, results from this study showed that orally administered activated charcoal capsules were effective in preventing the increase in the number of flatus events (p<0.01), and the increase in breath hydrogen concentrations (p<0.001), which normally occur after consumption of a gas-producing meal when compared with placebo capsules. (Hall et al., 1981)",Hall et al (1981): PMID 7015846,,,,,,,,,,,,,,
Finished,Barley grain fibre contributes to an increase in faecal bulk,Art. 13(1),Barley grain fibre,Nutrient,Macronutrient,May be used only for food which is high in that fibre as referred to in the claim 'high fibre' of Reg. No. 1924/2006. ,"A claim that a food is high in fibre, and any claim likely to have the same meaning for the consumer, may only be made where the product contains at least 6 g of fibre per 100 g or at least 3 g of fibre per 100 (kcal.","Matrix: food (general)
Must contain: Barley grain fibre
- Unit: g/100g
- Value: ≥6
  OR
- Unit: g/100kcal
- Value: ≥3",https://foodb.ca/foods/FOOD00088,,"Unit: g/100g or g/100kcal
Value: resp. ≥6 and ≥3",g,resp. ≥6 and ≥3,100g or 100 kcal,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,,Increase in faecal bulk,http://www.informatics.jax.org/vocab/gene_ontology/GO:0060450,Close Match,Enhancing a function,Increase in faecal bulk,2011;9(6):2249,"It is well established that the bulking effect of cereal fibre is closely related to the physico-chemical properties of the fibre, and thereby to the degree of fermentation by the gut microbiota in the large intestine. Insoluble dietary fibre is fermented to a lesser extent than soluble dietary fibre, and thereby leads to an increase in faecal bulking per se. The bulking effects of soluble dietary fibre are determined by the higher extent of fermentation, and thus an increase in the bacterial mass in faeces (bacteria contain about 80 % water) (Cummings et al., 2001). For cereal fibres, the average increase in faecal output per gram of dietary fibre consumed by humans is estimated to be 3.4 g for oat bran or oats, compared to 3.3 g for corn meal or corn bran and 5.4 g for
wheat bran, and 3.5 g for cellulose (Cummings, 2001). Although no value was provided for barley grain fibre, the similarity in composition of dietary fibre in oats and barley suggests a similar effect of barley grain fibre on faecal bulk. ",Cummings et al. (2001): 10.1093/ajcn/73.2.415s,,,,,,,,,,,,,,,,,,
Finished,Beta-glucans contribute to the maintenance of normal blood cholesterol levels,Art. 13(1),Beta-glucans,Nutrient,Macronutrient,"May be used only for food which contains at least 1g of beta-glucans from oats, oat bran, barley, barley bran, or from mixtures of these sources per quantified portion",,"Matrix: food (general)
Must contain: beta-glucans from oats, oat bran, barley, barley bran, or from mixtures of these sources
- Unit: g/portion
- Value: ≥1",https://foodb.ca/compounds/FDB005762,"Daily intake of 3g of beta-glucans from oats, oat bran, barley, barley bran, or from mixtures of these beta-glucans. ","Unit: g/day
Value: 3",g,3,day,Adults with normal or mildly elevated blood cholesterol concentrations,"age: http://purl.bioontology.org/ontology/MESH/D000328 
condition: http://purl.bioontology.org/ontology/MEDDRA/10020603",,Normal blood cholesterol,http://purl.bioontology.org/ontology/MEDDRA/10005426,Exact Match,Maintenance of a function,Maintenance of normal blood cholesterol concentrations,"2009;7(9):1254, 2011;9(6):2207","Two meta-analyses of randomised controlled clinical trials (Ripsin et al., 1992; Brown et al., 1999) included 20 and 25 studies, respectively. They concluded that consumption of oat products reduced serum LDL-cholesterol concentrations, but the effect was relatively small and variable within the range of realistic intakes. The analyses suggested a dose-dependent effect on LDL-cholesterol lowering. Ripsin et al. (1992) demonstrated a reduction of 0.13 to 0.16 mmol/L after intake of, on average, 3.2 g/d oat soluble fibre, which is considered by the Panel to be mainly beta-glucans. Brown et al. (1999) found a statistically significant reduction of serum LDL-cholesterol in 16 out of the 25 studies considered and estimated a change in serum total and LDL cholesterol of -0.037 mmol/L and -0.032 mmol/L per g of soluble fibre, respectively. More recent studies have shown similar statistically significant effects with oat beta-glucan at doses of 3-6 g/d (Karmally et al., 2005; Queenan et al., 2007). No effects on HDL cholesterol have been observed.",Ripsin et al. (1992): 10.1001/jama.1992.03480240079039; Brown et al. (1999): 10.1093/ajcn/69.1.30; Karmally et al. (2005): 10.1016/j.jada.2005.03.006; Queenan et al. (2007): 10.1186/1475-2891-6-6,"Studies on barley beta-glucan at doses 3-12 g/d have also shown significant lowering of serum LDLcholesterol concentrations (Newman et al., 1989; McIntosh et al., 1991; Behall et al., 2004a and 2004b; Keenan et al., 2007; Shimizu et al., 2008).",Newman et al. (1989): no DOI ; McIntosh et al. (1991): 10.1093/ajcn/53.5.1205; Behall et al. (2004a): 10.1093/ajcn/80.5.1185; Behall et al. (2004b): 10.1080/07315724.2004.10719343; Keenan et al. (2007): 10.1017/S0007114507682968; Shimizu et al. (2008): 10.1007/s11130-007-0064-6,,,,,,,,,,,,,,,,
Finished,Betaine contributes to normal homocysteine metabolism,Art. 13(1),Betaine,Compound,BioactiveCompound,May be used only for food which contains at least 500mg of betaine per quantified portion. ,,"Matrix: food (general)
Must contain: betaine
- Unit: mg/portion
- Value: ≥500",https://foodb.ca/compounds/FDB009020,"Daily intake of 1,5g of betaine.                        ","Unit: g/day
Value: 1,5",g,"1,5",day,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,Daily intake of >4g may significantly increase blood cholesterol levels,Normal blood homocysteine,http://purl.bioontology.org/ontology/MEDDRA/10049736,Exact Match,Maintenance of a function,Contribution to normal homocysteine metabolism,2011;9(4):2052,"In a randomised, double-blind, placebo-controlled intervention study, 42 obese subjects (28 women) treated with a hypocaloric diet were randomly assigned to a betaine-supplemented group (6 g/day) or a control group given placebo for 12 weeks after a 4-week run-in period aiming at energy balance (Schwab et al., 2002). Plasma homocysteine concentrations significantly decreased in the betaine group compared to placebo (p=0.030 for the interaction of time and treatment).",Schwab et al. (2002): 10.1093/ajcn/76.5.961,"Olthof et al. (2003) investigated the effect of betaine supplementation in the range of dietary intakes on fasting and post-methionine-loading plasma homocysteine concentrations in a double-blind, placebo-controlled, randomised intervention. Four groups of 19 healthy subjects with the highest plasma total homocysteine concentrations (range 8.4 to 22.2 mol/L) among the 132 subjects screened (but within the normal range) consumed either 0.75 g of betaine (plus 2.25 g of placebo), 1.5 g of betaine (plus 1.5 g of placebo), 3 g of betaine or 3 g of placebo twice daily (at breakfast and evening meal) dissolved in a glass of water. Daily doses of anhydrous betaine were 0, 1.5, 3 and 6 g in the four intervention groups, respectively. A methionine-loading test was performed during the run-in period (day 3), on day 1 of betaine supplementation, and after 2 and 6 weeks of betaine supplementation. Blood samples were collected at these time points after an overnight fast and six hours after the methionine load. Fasting plasma concentrations of homocysteine after 6 weeks of daily betaine intakes of 1.5, 3 and 6 g were 12 % (p<0.01), 15 % (p<0.002) and 20 % (p<0.0001) lower than in the placebo group, respectively. The increase in plasma homocysteine concentrations after the methionine-loading on the first day of betaine supplementation with 1.5, 3 and 6 g of betaine per day was 16 % (p<0.06), 23 % (p<0.008) and 35 % (p<0.0002) lower than in the placebo group, respectively, and after 6 weeks of supplementation it was 23 % (p<0.02), 30 % (p<0.003) and 40 % (p<0.0002) lower than in the placebo group, respectively.",Olthof et al. (2003): 10.1093/jn/133.12.4135,"A randomised, double-blind, cross-over intervention in humans was designed to assess the pharmacokinetics of orally administered betaine and its acute effect on plasma homocysteine concentrations (Schwab et al., 2006). A total of 10 normal weight volunteers (three females) received betaine at doses of 1, 3 and 6 g on single occasions seven days apart mixed with 150 mL of orange juice after a 12 h overnight fast. A significant, dose-dependant, inverse relationship was observed between the intake of betaine and blood concentrations of homocysteine. The Panel notes that no conclusions can be drawn from this study on the sustained effects of betaine consumption on blood homocysteine concentrations, but that it supports the findings observed in the longer term studies described above.",Schwab et al. (2006): 10.1093/jn/136.1.34,,,,,,,,,,,,,,
Finished,Biotin contributes to normal energy-yielding metabolism,Art. 13(1),Biotin,Nutrient,Micronutrient,May be used only for food which is at least a source of biotin as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' in Reg. No. 1924/2006,"50 microgram.

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 50 is 7,5","Matrix: food (general)
Must contain: biotin
- Unit: μg/100g or μg/100ml or μg/portion
- Value: ≥7,5",https://foodb.ca/compounds/FDB014510,,"Unit: μg/100g or μg/100ml or μg/portion 
Value: ≥7,5",μg,"≥7,5",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,Can be easily consumed as a part of a balanced diet,Normal energy-yielding metabolism,http://www.informatics.jax.org/vocab/gene_ontology/GO:0006091,Exact Match,Maintenance of a function,Energy-yielding metabolism,2009;7(9):1209,"Biotin is a cofactor for four carboxylase enzymes which are also involved in energy-yielding metabolism (IoM, 1998; Stryer, 1988).",IoM (1998): 10.17226/6015; Stryer (1988): 10.1007/978-3-662-54620-8,,,,,,,,,,,,,,,,,,
Finished,Biotin contributes to normal functioning of the nervous system,Art. 13(1),Biotin,Nutrient,Micronutrient,May be used only for food which is at least a source of biotin as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' in Reg. No. 1924/2006,"50 microgram.

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 50 is 7,5","Matrix: food (general)
Must contain: biotin
- Unit: μg/100g or μg/100ml or μg/portion
- Value: ≥7,5",https://foodb.ca/compounds/FDB014510,,"Unit: μg/100g or μg/100ml or μg/portion 
Value: ≥7,5",μg,"≥7,5",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,Can be easily consumed as a part of a balanced diet,Normal functioning of the nervous system,http://www.informatics.jax.org/vocab/gene_ontology/GO:0031644,Close Match,Maintenance of a function,Function of the nervous system,2009;7(9):1209,"Biotin has a role in the metabolic pathway of all cells including brain and nerve cells. Biotin deficiency symptoms include central nervous system abnormalities such as hypotonia, lethargy, and developmental delay in infants, and depression, hallucinations, and paraesthesia of the extremities in adults (FAO/WHO, 2004).",FAO/WHO (2004): no DOI,,,,,,,,,,,,,,,,,,
Finished,Biotin contributes to normal macronutrient metabolism,Art. 13(1),Biotin,Nutrient,Micronutrient,May be used only for food which is at least a source of biotin as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' in Reg. No. 1924/2006,"50 microgram.

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 50 is 7,5","Matrix: food (general)
Must contain: biotin
- Unit: μg/100g or μg/100ml or μg/portion
- Value: ≥7,5",https://foodb.ca/compounds/FDB014510,,"Unit: μg/100g or μg/100ml or μg/portion 
Value: ≥7,5",μg,"≥7,5",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,Can be easily consumed as a part of a balanced diet,Normal macronutrient metabolism,http://www.informatics.jax.org/vocab/gene_ontology/GO:0031670,Close Match,Maintenance of a function,Contribution to normal macronutrient metabolism,"2009;7(9):1209, 2010;8(10):1728","Biotin is a cofactor for four carboxylase enzymes which are also involved in macronutrient metabolism (IoM, 1998; Stryer, 1988).",IoM (1998): 10.17226/6015; Stryer (1988): 10.1007/978-3-662-54620-8,,,,,,,,,,,,,,,,,,
Finished,Biotin contributes to normal psychological function,Art. 13(1),Biotin,Nutrient,Micronutrient,May be used only for food which is at least a source of biotin as referred to in the claim 'source of [name of vitamin/s] and/or [name of mineral/s]' in Reg. No. 1924/2006,"50 microgram.

As a rule, 15% of the RDA specified here supplied by 100g or 100ml or per package if the package contains only a single portion should be taken into consideration in deciding what constitutes a significant amount. 

15% of 50 is 7,5","Matrix: food (general)
Must contain: biotin
- Unit: μg/100g or μg/100ml or μg/portion
- Value: ≥7,5",https://foodb.ca/compounds/FDB014510,,"Unit: μg/100g or μg/100ml or μg/portion 
Value: ≥7,5",μg,"≥7,5",100g or 100ml or portion,General population,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18241,Can be easily consumed as a part of a balanced diet,Normal psychological function,http://purl.bioontology.org/ontology/SNOMEDCT/3850002 ,Exact Match,Maintenance of a function,Contribution to normal psychological functions,2010;8(10):1728,"Depression is among the neurological symptoms of biotin deficiency observed in adults (Mock, 2005). In biotin-deficient infants, developmental delay, along with peculiar withdrawn behaviour, are characteristic of a neurological disorder resulting from lack of biotin (IoM, 1998).",Mock (2005): ISBN 9780080454283; IoM (1998): 10.17226/6015,,,,,,,,,,,,,,,,,,
