,document_id,annotation_text,dbPediaIri,locations
0,0recipe1006,Cream cheese,http://dbpedia.org/resource/Cream_cheese,"[(3, 12)]"
1,0recipe1006,Cheese,http://dbpedia.org/resource/Cheese,"[(4, 6), (67, 6), (78, 6)]"
2,0recipe1006,Beef,http://dbpedia.org/resource/Beef,"[(6, 4)]"
3,0recipe1006,Olive,http://dbpedia.org/resource/Olive,"[(8, 5)]"
4,0recipe1006,Onion,http://dbpedia.org/resource/Onion,"[(10, 5)]"
5,0recipe1006,Worcestershire,http://dbpedia.org/resource/Worcestershire,"[(13, 14)]"
6,0recipe1006,Worcestershire sauce,http://dbpedia.org/resource/Worcestershire_sauce,"[(13, 20), (14, 20)]"
7,0recipe1006,Walnut,http://dbpedia.org/resource/Walnut,"[(63, 6), (71, 6)]"
8,0recipe1013,Baking,http://dbpedia.org/resource/Baking,"[(16, 6)]"
9,0recipe1013,Artichoke,http://dbpedia.org/resource/Artichoke,"[(20, 9), (20, 9)]"
10,0recipe1013,Mozzarella,http://dbpedia.org/resource/Mozzarella,"[(23, 10), (23, 10)]"
11,0recipe1013,Cheese,http://dbpedia.org/resource/Cheese,"[(24, 6), (27, 6)]"
12,0recipe1013,Parmigiano Reggiano,,"[(26, 19), (26, 19)]"
13,0recipe1013,Mayonnaise,http://dbpedia.org/resource/Mayonnaise,"[(29, 10)]"
14,0recipe1013,Almond,http://dbpedia.org/resource/Almond,"[(44, 6)]"
15,0recipe1013,Tortilla chip,http://dbpedia.org/resource/Tortilla_chip,"[(51, 13), (52, 13)]"
16,0recipe1046,Water,http://dbpedia.org/resource/Water,"[(6, 5), (19, 5)]"
17,0recipe1046,Sun-dried tomato,http://dbpedia.org/resource/Sun-dried_tomato,"[(15, 16), (94, 16), (115, 16)]"
18,0recipe1046,Tomato,http://dbpedia.org/resource/Tomato,"[(16, 6), (95, 6), (116, 6)]"
19,0recipe1046,Cream,http://dbpedia.org/resource/Cream,"[(37, 5), (82, 5), (108, 5)]"
20,0recipe1046,Cream cheese,http://dbpedia.org/resource/Cream_cheese,"[(37, 12), (82, 12), (108, 12)]"
21,0recipe1046,Cheese,http://dbpedia.org/resource/Cheese,"[(38, 6), (55, 6), (66, 6), (83, 6), (109, 6), (122, 6), (125, 6), (154, 6)]"
22,0recipe1046,Garlic,http://dbpedia.org/resource/Garlic,"[(40, 6), (85, 6), (111, 6)]"
23,0recipe1046,Cheesecloth,http://dbpedia.org/resource/Cheesecloth,"[(55, 11), (125, 11), (154, 11)]"
24,0recipe1046,Provolone,http://dbpedia.org/resource/Provolone,"[(65, 9), (65, 9), (102, 9), (121, 9), (121, 9)]"
25,0recipe1046,Pesto,http://dbpedia.org/resource/Pesto,"[(74, 5), (105, 5)]"
26,0recipe1046,Olive oil,http://dbpedia.org/resource/Olive_oil,"[(142, 9)]"
27,0recipe1058,Garlic,http://dbpedia.org/resource/Garlic,"[(2, 6)]"
28,0recipe1058,Salt,http://dbpedia.org/resource/Salt,"[(5, 4), (88, 4)]"
29,0recipe1058,Seafood,http://dbpedia.org/resource/Seafood,"[(16, 7)]"
30,0recipe1058,Chickpea,http://dbpedia.org/resource/Chickpea,"[(21, 8), (21, 8)]"
31,0recipe1058,Bean,http://dbpedia.org/resource/Bean,"[(22, 4), (37, 4)]"
32,0recipe1058,Tahini,http://dbpedia.org/resource/Tahini,"[(24, 6)]"
33,0recipe1058,Lemon,http://dbpedia.org/resource/Lemon,"[(26, 5), (26, 5)]"
34,0recipe1058,Honey,http://dbpedia.org/resource/Honey,"[(29, 5)]"
35,0recipe1058,Olive oil,http://dbpedia.org/resource/Olive_oil,"[(54, 9), (54, 9), (55, 9), (78, 9), (78, 9), (79, 9)]"
36,0recipe1058,Pita,http://dbpedia.org/resource/Pita,"[(74, 4)]"
37,0recipe1058,Bread,http://dbpedia.org/resource/Bread,"[(75, 5)]"
38,0recipe1058,Rosemary,http://dbpedia.org/resource/Rosemary,"[(91, 8)]"
39,0recipe1058,Hummus,http://dbpedia.org/resource/Hummus,"[(107, 6)]"
40,0recipe106,Oven,http://dbpedia.org/resource/Stove,"[(2, 4), (160, 4)]"
41,0recipe106,Chicken,http://dbpedia.org/resource/Chicken,"[(20, 7), (97, 7), (135, 7)]"
42,0recipe106,Cumin,http://dbpedia.org/resource/Cumin,"[(26, 5)]"
43,0recipe106,Frying pan,http://dbpedia.org/resource/Frying_pan,"[(34, 10)]"
44,0recipe106,Vegetable oil,http://dbpedia.org/resource/Cooking_oil,"[(36, 13), (36, 13), (37, 13), (49, 13), (90, 13)]"
45,0recipe106,Maize,http://dbpedia.org/resource/Maize,"[(45, 5)]"
46,0recipe106,Corn tortilla,http://dbpedia.org/resource/Corn_tortilla,"[(45, 13)]"
47,0recipe106,Tortilla,http://dbpedia.org/resource/Tortilla,"[(46, 8), (66, 8), (80, 8), (104, 8), (114, 8), (133, 8), (153, 8), (156, 8), (168, 8)]"
48,0recipe106,Cheese,http://dbpedia.org/resource/Cheese,"[(108, 6), (144, 6)]"
