Claim,Food,Phenotype,Health relationship
ALA contributes to the maintenance of normal blood cholesterol levels,['ALA'],['normal blood cholesterol levels'],['contributes to the maintenance of']
Activated charcoal contributes to reducing exessive flatulence after eating,"['Activated charcoal', 'eating']",['exessive flatulence'],['reducing a risk factor']
Barley grain fibre contributes to an increase in faecal bulk,['Barley grain fibre'],['faecal bulk'],['contributes to an increase in']
Beta-glucans contribute to the maintenance of normal blood cholesterol levels,['Beta-glucans'],['normal blood cholesterol levels'],['maintenance']
Betaine contributes to normal homocysteine metabolism,['Betaine'],['homocysteine metabolism'],['contributes to']
Biotin contributes to normal energy-yielding metabolism,['Biotin'],['energy-yielding metabolism'],['enhancing a function']
Biotin contributes to normal functioning of the nervous system,['Biotin'],['nervous system'],['contributes to normal functioning of']
Biotin contributes to normal macronutrient metabolism,"['Biotin', 'macronutrient']",['metabolism'],['contributes to']
Biotin contributes to normal psychological function,['Biotin'],['normal psychological function'],['contributes to']
Biotin contributes to the maintenance of normal hair,['Biotin'],['hair'],['maintenance of function']
Biotin contributes to the maintenance of normal mucous membranes,['Biotin'],"['maintenance', 'normal mucous membranes']",['contributes to the maintenance of']
Biotin contributes to the maintenance of normal skin,['Biotin'],['normal skin'],['maintenance of function']
Calcium contributes to normal blood clotting,['Calcium'],['blood clotting'],['contributes to']
Calcium contributes to normal energy-yielding metabolism,['Calcium'],['normal energy-yielding metabolism'],['contributes to']
Calcium contributes to normal muscle function,['Calcium'],['muscle function'],['contributes to']
Calcium contributes to normal neurotransmission,['Calcium'],['normal neurotransmission'],['contributes to']
Calcium contributes to the normal function of digestive enzymes,['Calcium'],['digestive enzymes'],['contributes to the normal function of']
Calcium has a role in the process of cell division and specialisation,['Calcium'],"['cell division', 'specialisation']","['maintenance of function', 'maintenance of function']"
Calcium is needed for the maintenance of normal bones,['Calcium'],['normal bones'],['maintenance of function']
Calcium is needed for the maintenance of normal teeth,['Calcium'],['normal teeth'],['maintenance of function']
Carbohydrate-electrolyte solutions contribute to the maintenance of endurance performing during prolonged endurance exercise ,['Carbohydrate-electrolyte solutions'],"['maintenance of endurance', 'prolonged endurance exercise']",['contribute to the maintenance of']
Carbohydrate-electrolyte solutions enhance the absorption of water during physical exercise,['Carbohydrate-electrolyte solutions'],"['water', 'physical exercise']",['enhancing a function']
Carbohydrates contribute to the maintenance of normal brain function,['Carbohydrates'],['normal brain function'],['enhancing a function']
Chitosan contributes to the maintenance of normal blood cholesterol levels,['Chitosan'],['normal blood cholesterol levels'],['contributes to the maintenance of']
Chloride contributes to normal digestion by production of hydrochloric acid in the stomach,['Chloride'],"['hydrochloric acid', 'stomach']","['production of', 'in']"
Choline contributes to normal homocysteine metabolism,['Choline'],['homocysteine'],['maintenance of function']
Choline contributes to normal lipid metabolism,['Choline'],['normal lipid metabolism'],['enhancing a function']
Choline contributes to the maintenance of normal liver function,['Choline'],['maintenance of normal liver function'],['maintenance of function']
Chromium contributes to normal macronutrient metabolism,['Chromium'],['normal macronutrient metabolism'],['enhancing a function']
Chromium contributes to the maintenance of normal blood glucose levels,['Chromium'],['normal blood glucose levels'],['maintenance of function']
Consumption of hydroxypropyl methylcellulose with a meal contributes to a reduction in the blood glucose rise after that meal ,"['hydroxypropyl methylcellulose', 'meal']",['blood glucose rise'],['reducing a risk factor']
