Claim,Rel
ALA contributes to the maintenance of normal blood cholesterol levels,[{'predicate': 'maintenance of function'}]
Activated charcoal contributes to reducing exessive flatulence after eating,[{'predicate': 'reducing a risk factor'}]
Barley grain fibre contributes to an increase in faecal bulk,"[{'predicate': 'enhancing a function', 'subject': 'Barley grain fibre', 'object': 'increase of faecal bulk'}]"
Beta-glucans contribute to the maintenance of normal blood cholesterol levels,[{'predicate': 'maintenance of function'}]
Betaine contributes to normal homocysteine metabolism,[{'predicate': 'enhancing a function'}]
Biotin contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancing a function', 'entity1': 'biotin', 'entity2': 'energy-yielding metabolism'}]"
Biotin contributes to normal functioning of the nervous system,[{'predicate': 'maintenance of function'}]
Biotin contributes to normal macronutrient metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Biotin', 'object': 'normal macronutrient metabolism'}]"
Biotin contributes to normal psychological function,[{'predicate': 'maintenance of function.'}]
Biotin contributes to the maintenance of normal hair,[{'predicate': 'maintenance of function'}]
Biotin contributes to the maintenance of normal mucous membranes,[{'predicate': 'maintenance of function'}]
Biotin contributes to the maintenance of normal skin,[{'predicate': 'maintenance of function'}]
Calcium contributes to normal blood clotting,[{'predicate': 'maintenance of function'}]
Calcium contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Calcium', 'object': 'normal energy-yielding metabolism'}]"
Calcium contributes to normal muscle function,[{'predicate': 'maintenance of function'}]
Calcium contributes to normal neurotransmission,[{'predicate': 'enhancing a function'}]
Calcium contributes to the normal function of digestive enzymes,[{'predicate': 'maintenance of function'}]
Calcium has a role in the process of cell division and specialisation,[{'predicate': 'maintenance of function'}]
Calcium is needed for the maintenance of normal bones,[{'predicate': 'maintenance of function'}]
Calcium is needed for the maintenance of normal teeth,[{'predicate': 'maintenance of function'}]
Carbohydrate-electrolyte solutions contribute to the maintenance of endurance performing during prolonged endurance exercise ,[{'predicate': 'maintenance of function'}]
Carbohydrate-electrolyte solutions enhance the absorption of water during physical exercise,[{'predicate': 'enhancing a function'}]
Carbohydrates contribute to the maintenance of normal brain function,[{'predicate': 'maintenance of function'}]
Chitosan contributes to the maintenance of normal blood cholesterol levels,[{'predicate': 'maintenance of function'}]
Chloride contributes to normal digestion by production of hydrochloric acid in the stomach,[{'predicate': 'enhancing a function'}]
Choline contributes to normal homocysteine metabolism,[{'predicate': 'maintenance of function'}]
Choline contributes to normal lipid metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Choline', 'object': 'normal lipid metabolism'}]"
Choline contributes to the maintenance of normal liver function,[{'predicate': 'maintenance of function'}]
Chromium contributes to normal macronutrient metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Chromium', 'object': 'normal macronutrient metabolism'}]"
Chromium contributes to the maintenance of normal blood glucose levels,[{'predicate': 'maintenance of function'}]
Consumption of hydroxypropyl methylcellulose with a meal contributes to a reduction in the blood glucose rise after that meal ,[{'predicate': 'reducing a risk factor'}]
Consumption of alpha-cyclodextrin as a part of a starch-containing meal contributes to the reduction of the blood glucose rise after that meal,[{'predicate': 'reducing a risk factor'}]
Consumption of arabinoxylan as part of a meal contributes to a reduction of the blood glucose rise after that meal ,[{'predicate': 'reducing a risk factor'}]
Consumption of beta-glucans from oats or barley as part of a meal contributes to the reduction of the blood glucose rise after that meal ,[{'predicate': 'reducing a risk factor'}]
Consumption of foods containing fructose leads to a lower blood glucose rise compared to foods containing sucrose or glucose ,[{'predicate': 'reducing a risk factor'}]
Consumption of foods/drinks containing [name of sugar replacer] instead of sugar* contributes to the maintenance of tooth mineralisation,[{'predicate': 'maintenance of function'}]
Consumption of foods/drinks containing [name of sugar replacer] instead of sugar* induces a lower blood glucose rise after their consumption compared to sugar-containing foods/drinks,[{'predicate': 'reducing a risk factor'}]
Consumption of pectins with a meal contributes to the reduction of the blood glucose rise after that meal,[{'predicate': 'reducing a risk factor'}]
Copper contributes to maintenance of normal connective tissues,[{'predicate': 'maintenance of function'}]
Copper contributes to normal energy-yielding metabolism,"[{'predicate': 'enhancing a function', 'subject': 'Copper', 'object': 'energy-yielding metabolism'}]"
Copper contributes to normal functioning of the nervous system,[{'predicate': 'maintenance of function'}]
Copper contributes to normal hair pigmentation,[{'predicate': 'maintenance of function'}]
Copper contributes to normal iron transport in the body,"[{'predicate': 'enhancing a function', 'subject': 'Copper', 'object': 'Iron transport'}]"
Copper contributes to normal skin pigmentation,[{'predicate': 'maintenance of function'}]
Copper contributes to the normal function of the immune system,"[{'predicate': 'enhancing a function', 'subject': 'Copper', 'object': 'immune system'}]"
Copper contributes to the protection of cells from oxidative stress,[{'predicate': 'maintenance of function'}]
"Creatine increases the physical performance in successive bursts of short-term, high intensity exercise ","[{'predicate': 'enhancing a function', 'entities': ['Creatine', 'physical performance', 'successive bursts of short-term, high intensity exercise']}]"
DHA and EPA contribute to the maintenance of normal blood pressure,[{'predicate': 'maintenance of function'}]
