Claim,dbpedia_iris,wiki_urls,isFood
ALA contributes to the maintenance of normal blood cholesterol levels,"['http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol']","['http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol']",1
Activated charcoal contributes to reducing exessive flatulence after eating,[],[],0
Barley grain fibre contributes to an increase in faecal bulk,"['http://dbpedia.org/resource/Barley', 'http://dbpedia.org/resource/Fiber']","['http://en.wikipedia.org/wiki/Barley', 'http://en.wikipedia.org/wiki/Fiber']",1
Beta-glucans contribute to the maintenance of normal blood cholesterol levels,"['http://dbpedia.org/resource/Blood_lipids', 'http://dbpedia.org/resource/Cholesterol']","['http://en.wikipedia.org/wiki/Blood_lipids', 'http://en.wikipedia.org/wiki/Cholesterol']",1
Betaine contributes to normal homocysteine metabolism,['http://dbpedia.org/resource/Homocysteine'],['http://en.wikipedia.org/wiki/Homocysteine'],1
Biotin contributes to normal energy-yielding metabolism,['http://dbpedia.org/resource/Biotin'],['http://en.wikipedia.org/wiki/Biotin'],1
Biotin contributes to normal functioning of the nervous system,['http://dbpedia.org/resource/Biotin'],['http://en.wikipedia.org/wiki/Biotin'],1
Biotin contributes to normal macronutrient metabolism,['http://dbpedia.org/resource/Biotin'],['http://en.wikipedia.org/wiki/Biotin'],1
Biotin contributes to normal psychological function,['http://dbpedia.org/resource/Biotin'],['http://en.wikipedia.org/wiki/Biotin'],1
Biotin contributes to the maintenance of normal hair,['http://dbpedia.org/resource/Biotin'],['http://en.wikipedia.org/wiki/Biotin'],1
Biotin contributes to the maintenance of normal mucous membranes,['http://dbpedia.org/resource/Biotin'],['http://en.wikipedia.org/wiki/Biotin'],1
Biotin contributes to the maintenance of normal skin,['http://dbpedia.org/resource/Biotin'],['http://en.wikipedia.org/wiki/Biotin'],1
Calcium contributes to normal blood clotting,['http://dbpedia.org/resource/Calcium'],['http://en.wikipedia.org/wiki/Calcium'],1
Calcium contributes to normal energy-yielding metabolism,['http://dbpedia.org/resource/Calcium'],['http://en.wikipedia.org/wiki/Calcium'],1
Calcium contributes to normal muscle function,['http://dbpedia.org/resource/Calcium'],['http://en.wikipedia.org/wiki/Calcium'],1
Calcium contributes to normal neurotransmission,['http://dbpedia.org/resource/Calcium'],['http://en.wikipedia.org/wiki/Calcium'],1
Calcium contributes to the normal function of digestive enzymes,['http://dbpedia.org/resource/Calcium'],['http://en.wikipedia.org/wiki/Calcium'],1
