Claim,predicted_label,dbpedia_iris,isFood,wiki_urls
ALA contributes to the maintenance of normal blood cholesterol levels,ALA,['http://dbpedia.org/resource/Indy_Grand_Prix_of_Alabama'],0,['http://en.wikipedia.org/wiki/Indy_Grand_Prix_of_Alabama']
Activated charcoal contributes to reducing exessive flatulence after eating,Activated charcoal,"['', 'http://dbpedia.org/resource/Activated_carbon', 'http://dbpedia.org/resource/Charcoal']",1,"['http://en.wikipedia.org/wiki/Activated', 'http://en.wikipedia.org/wiki/Activated_carbon', 'http://en.wikipedia.org/wiki/Charcoal']"
Activated charcoal contributes to reducing exessive flatulence after eating,eating,['http://dbpedia.org/resource/Eating'],0,['http://en.wikipedia.org/wiki/Eating']
Barley grain fibre contributes to an increase in faecal bulk,Barley grain fibre,"['http://dbpedia.org/resource/Barley', '', 'http://dbpedia.org/resource/Fiber']",1,"['http://en.wikipedia.org/wiki/Barley', 'http://en.wikipedia.org/wiki/Grain', 'http://en.wikipedia.org/wiki/Fiber']"
Beta-glucans contribute to the maintenance of normal blood cholesterol levels,Beta-glucans,[],0,[]
Betaine contributes to normal homocysteine metabolism,Betaine,['http://dbpedia.org/resource/Betaine'],0,['http://en.wikipedia.org/wiki/Betaine']
Biotin contributes to normal energy-yielding metabolism,Biotin,['http://dbpedia.org/resource/Biotin'],1,['http://en.wikipedia.org/wiki/Biotin']
Biotin contributes to normal functioning of the nervous system,Biotin,['http://dbpedia.org/resource/Biotin'],1,['http://en.wikipedia.org/wiki/Biotin']
Biotin contributes to normal macronutrient metabolism,Biotin,['http://dbpedia.org/resource/Biotin'],1,['http://en.wikipedia.org/wiki/Biotin']
Biotin contributes to normal macronutrient metabolism,macronutrient,['http://dbpedia.org/resource/Nutrient'],0,['http://en.wikipedia.org/wiki/Nutrient']
Biotin contributes to normal psychological function,Biotin,['http://dbpedia.org/resource/Biotin'],1,['http://en.wikipedia.org/wiki/Biotin']
